,Natural Resources,Technosphere Inputs,Recycled Outputs,Cleaned Emissions,Waste Emissions,Total Input (V+Ri),Total functional (Er+Rr),inefficiency (η-),efficiency (η+)
kilogram,388.88889923160986,0.10101010143815949,1.010100999329917,10.101009767524003,377.87880956646273,388.989909333048,11.111110766853919,0.9714360205753511,0.028564007703708153
cubic meter,0.010101009767524004,0.0,0.0,0.010101009767524004,0.0,0.010101009767524004,0.010101009767524004,0.0,1.0
megajoule,2272.7274715158524,0.0,750.0,0.0,1522.727358251972,2272.7274715158524,750.0,0.6699999790279962,0.32999997113590074
