bonsut2_0_code,coicop2018_code
C_Sweed,01.1.7.9
C_Tomae,01.1.7.9
C_Raiss,01.1.6
C_Plum,01.1.6
C_Figsd,01.1.6
C_Apriy,01.1.6
C_Frudry,01.1.6
C_Grou_shld,01.1.6
C_Almod,01.1.6
C_Haze_shld,01.1.6
C_Cashd,01.1.6
C_Brazd,01.1.6
C_Walnd,01.1.6
C_Cocod,01.1.6
C_Juice_oran_con,01.2.1
C_Juice_oran,01.2.1
C_Juice_grapfrt,01.2.1
C_Juice_grapef,01.2.1
C_Juice_pine,01.2.1
C_Juice_pine_con,01.2.1
C_Juice_grapes,01.2.1
C_Juice_appl,01.2.1
C_Juice_appl_con,01.2.1
C_Juice_lemo_con,01.2.1
C_Juice_lemo,01.2.1
C_Juice_mang,01.2.1
C_Juice_tang,01.2.1
C_Juice_frui,01.2.1
C_Pined,01.1.6
C_Peanr,01.1.8.4
C_Grou_prep,01.1.6
C_Nuts,01.1.6
C_Fat_nes,01.1.5.9
C_Lard,01.1.5.9
C_Lardl,01.1.5.9
C_Oils_nes,01.1.5.9
C_Oil_hydr,01.1.5
C_Oil_grou,01.1.5.1
C_Oil_saff,01.1.5.1.1
C_Oil_sunf,01.1.5.1
C_Oil_rape,01.1.5.1
C_Oil_must,01.1.5.1
C_Oil_palm,01.1.5.1.2
C_Oil_coco,01.1.5.1
C_Oil_olive,01.1.5
C_Oil_cott,01.1.5
C_Oil_lins,01.1.5.1
C_Oil_maiz,01.1.5.1
C_Oil_sesa,01.1.5.1
C_Oil_tung,01.1.5.1
C_Oil_hemp,01.1.5.1
C_Oil_kapo,01.1.5.1
C_Oil_popp,01.1.5.1
C_Oil_rice,01.1.5.1
C_cOil_beans,01.1.5.1
C_vOil_nes,01.1.5
C_Butts,01.1.5
C_Cksoyb,01.1.1.3
C_Fat_sub,01.1.5.9
C_Milk_skim_buff,01.1.4
C_Milk_skim_cow,01.1.4
C_Milk_skim_she,01.1.4
C_Milk_skim_dried,01.1.4
C_Skim_ted,01.1.4
C_Whol_ted,01.1.4
C_Skim_sed,01.1.4
C_Whol_sed,01.1.4
C_Yoght,01.1.4
C_Butt_cow,01.1.5
C_Butt_buff,01.1.5
C_Ghee_buff,01.1.5
C_Butt_sheep,01.1.5
C_Chee_cow_sk,01.1.4
C_Chee_cow_wh,01.1.4
C_Chee_buff,01.1.4
C_Chee_sheep,01.1.4
C_Chee_goat,01.1.4
C_Chee_proc,01.1.4
C_Milk_prod,01.1.4
C_Flour_whea,01.1.1
C_Flour_rye,01.1.1
C_Flour_sorg,01.1.1
C_Flour_buck,01.1.1
C_Flour_foni,01.1.1
C_Flour_trit,01.1.1
C_Flour_mixe,01.1.1
C_Cer_prep,01.1.1
C_Barld,01.1.1.1
C_Barlt,01.1.1.1
C_Germe,01.1.1
C_Germt,01.1.1
C_Cer_brkf,01.1.1
C_Rice_milhusk,01.1.1.1
C_Rice_husk,01.1.1
C_Flour_frui,01.1.6.9
C_Flour_maiz,01.1.1.2
C_Flour_mill,01.1.1.2
C_Flour_must,01.1.9.3
C_Flour_pota,01.1.7
